system,tier,target,term_name,term_index,true_coef_median,true_coef_ci_low,true_coef_ci_high,recovered_coef_median,recovered_coef_ci_low,recovered_coef_ci_high,abs_error_clean,rel_error_clean,zero_truth,error_display,error_type,selected_clean,active_true_clean,term_role,false_positive_count,selected_rate,active_true_rate
mueller_brown,8-bistable,b2,x^2y^2,12,9.801863384725271,1.5259316613545977,33.03319025084414,-0.0033350606807538,-1.835883523732996,1.0159593845184485,9.805198445406026,1.0003402476192387,False,1.00,rel,False,True,active_missed,0,0.0,0.9
mueller_brown,8-bistable,b2,xy^3,13,-13.57300594903282,-29.56159136739495,-8.877362228165335,-0.1239729641921293,-1.6637627543593116,0.9963741566989388,13.449032984840692,0.9908662116072406,False,0.991,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b2,y^4,14,5.2177963507926,2.018620739744295,6.554671395238641,1.2862803127596734,-0.038852977801388,2.7749883444063896,3.931516038032927,0.7534820782025571,False,0.753,rel,False,True,active_missed,0,0.0,0.7
near_boundary_heston,6,a11,1,0,5.1652505790090205e-09,4.1897853092286225e-09,6.5072343276413695e-09,0.001017373400486,-0.0030455847315514,0.0074116275195036,0.001017368235235421,,True,1.0e-03,abs,False,False,inactive_unselected,0,0.0,0.0
near_boundary_heston,6,a11,x,1,-4.782787147917691e-10,-9.510455110868483e-10,3.1395460128026435e-10,-1.3548964056570175e-09,-1.363139042301883e-05,4.626212048194757e-06,8.766176908652485e-10,,True,8.8e-10,abs,False,False,inactive_unselected,0,0.0,0.0
near_boundary_heston,6,a11,y,2,0.9999998102470156,0.999999775464092,0.9999998429151864,0.3644402625460416,-0.0839715560499452,0.7936608323952897,0.6355595477009739,0.6355596683003177,False,0.636,rel,False,True,active_missed,0,0.4,1.0
near_boundary_heston,6,a11,x^2,3,7.515294416890113e-17,-1.067850920313754e-16,2.7162120991662247e-16,1.885874203664123e-06,2.342924374780951e-13,9.514201710638322e-06,1.88587420358897e-06,,True,1.9e-06,abs,False,False,inactive_unselected,0,0.0,0.0
near_boundary_heston,6,a11,xy,4,5.985547600817016e-09,-3.785041616082072e-09,1.4210150579493289e-08,6.920667032992133e-09,-0.0001581434050157,0.0001588863846612,9.35119432175117e-10,,True,9.4e-10,abs,False,False,inactive_unselected,0,0.1,0.0
near_boundary_heston,6,a11,y^2,5,1.06986398001033e-06,8.364265166851338e-07,1.4887230120789535e-06,2.437342940837218,1.503851355074332,5.846374704079429,2.437341870973238,,True,2.44,abs,True,False,selected_zero_truth,1,1.0,0.0
near_boundary_heston,6,a12,1,0,-1.3429651560911151e-09,-1.6918815702558202e-09,-1.0893441020530275e-09,2.047923783037088e-05,-0.0017393067567856,0.0014795296340122,2.048058079552697e-05,,True,2.0e-05,abs,False,False,inactive_unselected,0,0.0,0.0
near_boundary_heston,6,a12,x,1,1.2435247249752388e-10,-8.162824376518206e-11,2.4727182758488604e-10,-2.767112687439302e-11,-0.0013227347184835,4.80078398704978e-10,1.520235993719169e-10,,True,1.5e-10,abs,False,False,inactive_unselected,0,0.0,0.0
near_boundary_heston,6,a12,y,2,-0.2599999506642103,-0.2599999591579524,-0.2599999416206634,-0.0853437289925042,-0.1988334006065449,-0.0242077920108951,0.17465622167170608,0.6717548262048497,False,0.672,rel,False,True,active_missed,0,0.4,1.0
near_boundary_heston,6,a12,x^2,3,5.338705806547657e-18,-6.24680879651171e-17,3.181642672534284e-17,-1.0036193406844321e-14,-0.0013878116423511,2.0540709447328762e-13,1.0041532112650869e-14,,True,1.0e-14,abs,False,False,inactive_unselected,0,0.0,0.0
near_boundary_heston,6,a12,xy,4,-1.556242489167267e-09,-3.694639030480658e-09,9.841112978266262e-10,-2.5830001131722593e-09,-0.0125296450926997,0.0391330256867246,1.0267576240049922e-09,,True,1.0e-09,abs,False,False,inactive_unselected,0,0.1,0.0
near_boundary_heston,6,a12,y^2,5,-2.781646102058657e-07,-3.870679062906402e-07,-2.174709103111572e-07,-0.5789222059051476,-1.2910011521468627,-0.3619377208774312,0.5789219277405374,,True,0.579,abs,True,False,selected_zero_truth,1,1.0,0.0
near_boundary_heston,6,a22,1,0,8.264401770958188e-10,6.703657930154682e-10,1.0411577069155892e-09,2.2409367721100557e-05,-0.0005772600619221,0.0011436581879152,2.240854128092346e-05,,True,2.2e-05,abs,False,False,inactive_unselected,0,0.0,0.0
