system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec,run_status,error,traceback_tail
near_singular,4,9605,4,WG_SINDY_FROZEN,A,16,1200,0.01,0.9848499899417974,0.9848499899417974,192.16584892132857,0.17952071367500325,1.4573731757066992,229.2736349043488,147.5839059917089,182.9741959838188,0.49773910735004245,1.0,1.0,68.40746517734816,drift+tensor+psd,21.867212145996746,OK,,
underdamped_langevin,6,9605,4,WG_SINDY_FROZEN,B,16,1200,0.01,0.10738568262104305,0.10738568262104305,0.5530485463921415,0.08770341473105468,0.1161167560643852,,0.5529198722087089,,,,1.0,0.18314267247619143,drift+tensor+psd,7.462766851007473,OK,,
near_boundary_heston,6,9605,4,WG_SINDY_FROZEN,D,16,1200,0.01,5.538903776629882,5.538903776629882,0.5260326286567278,14.892987318008231,1.9850941992224698,0.512181190237618,0.5619352716882297,0.6129279767693651,0.9414495690755598,0.9230769230769231,1.0,5.843582342158146,drift+tensor+psd,7.128103111987002,OK,,
nonpoly_drift,6,9605,4,WG_SINDY_FROZEN,G,16,1200,0.01,0.3758214653701202,0.3758214653701202,0.03283924028257784,0.15659252608983495,0.5301085351408914,0.008090947123430527,0.04573147689851726,,,,1.0,0.3587574748637318,drift+tensor+psd,30.331549991009524,OK,,
bad_coverage,6,9605,4,WG_SINDY_FROZEN,A,16,1200,0.01,0.7994041074610196,0.7994041074610196,0.7969401299923978,0.8124541263452736,0.77709648190269,0.7975400757932559,0.7958178205287267,,,,1.0,0.7728323771828597,drift+tensor+psd,6.219489109993447,OK,,
too_large_dt,6,9605,4,WG_SINDY_FROZEN,A,16,600,0.05,0.15601513622084293,0.15601513622084293,0.10917192759711335,0.13609430859075902,0.17732188542980032,0.10664068798528108,0.11274821716995194,,,,1.0,0.154997732288057,drift+tensor+psd,6.274210835981648,OK,,
van_der_pol,7-limit-cycle,9605,4,WG_SINDY_FROZEN,B,16,1200,0.01,0.13514129055332663,0.13514129055332663,0.19823285139311728,0.05623882068986533,0.14257507348321094,0.0060342716936002795,0.1095893549763501,,,,1.0,0.10424099618951095,drift+tensor+psd,9.695277205988532,OK,,
fitzhugh_nagumo,7-limit-cycle,9605,4,WG_SINDY_FROZEN,B,16,1200,0.01,0.13375200502712434,0.13375200502712434,0.10486713948904593,0.03268940828676782,1.2079277244447402,0.042245248357741835,0.06264395977522767,,,,1.0,0.5762072130669773,drift+tensor+psd,10.442365249997238,OK,,
stuart_landau,7-limit-cycle,9605,4,WG_SINDY_FROZEN,B,16,1200,0.01,0.11882022679508676,0.11882022679508676,0.015917814172870054,0.10366091165099148,0.13223617205667948,0.01281678486647106,0.018506313565122685,,,,1.0,0.14509044767383986,drift+tensor+psd,10.00625740599935,OK,,
brusselator,7-limit-cycle,9605,4,WG_SINDY_FROZEN,B,16,1200,0.01,0.00597754628516309,0.00597754628516309,0.006541772881620929,0.006381729959069024,0.005649641796594988,0.005748264847831029,0.007248933446281055,,,,1.0,0.00723722995703098,drift+tensor+psd,8.656446950975806,OK,,
maier_stein,8-bistable,9605,4,WG_SINDY_FROZEN,B,16,1200,0.01,0.3721173160749928,0.3721173160749928,0.036026218167066165,0.3393944356232058,0.3986700836683404,0.047574002752759005,0.012618690288962682,,,,1.0,0.3344391256568032,drift+tensor+psd,10.486213538999436,OK,,
duffing,8-bistable,9605,4,WG_SINDY_FROZEN,B,16,1200,0.01,0.10606022214229961,0.10606022214229961,0.006939144168933319,0.08468740979423343,0.1225103786108507,0.0018381682667394249,0.009639739675822928,,,,1.0,0.10593789917086682,drift+tensor+psd,10.190147029992659,OK,,
mueller_brown,8-bistable,9605,4,WG_SINDY_FROZEN,C,16,1000,0.004,1.0526085891143224,1.0526085891143224,0.08951962697033745,1.1363607875914643,0.9627072850999122,0.06943192017203165,0.10515985416507752,,,,1.0,0.886175414195872,drift+tensor+psd,17.180214465013705,OK,,
sabr,9-financial,9605,4,WG_SINDY_FROZEN,F,16,1600,0.003968253968253968,,,0.1006527136501476,,,0.10272980310306673,0.12311724258955212,0.05572552218871996,0.9993649676629662,1.0,1.0,2.1519833213219863,drift+tensor+psd,31.299538177991053,OK,,
gbm_2d,9-financial,9605,4,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,2.4542499341247215,2.4542499341247215,0.0865293937863555,1.0,4.034655597757166,0.08243527930954468,0.08730860984018436,0.07852422292431048,0.9998977258857724,1.0,1.0,1.4896470943988975,drift+tensor+psd,9.055495631007943,OK,,
two_factor_vasicek,9-financial,9605,4,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,0.4557006591909159,0.4557006591909159,1.0,0.35252838698139716,0.5493795897746419,1.0,1.0,1.0,,0.0,1.0,0.5166156161597798,drift+tensor+psd,13.249317639012588,OK,,
near_singular,4,9606,5,WG_SINDY_FROZEN,A,16,1200,0.01,1.0906923319531157,1.0906923319531157,159.611880191507,0.345047988492693,1.6063524880237192,157.26691012117664,168.0135302304242,157.1799408358074,0.4994880016915182,1.0,1.0,62.47175244151848,drift+tensor+psd,16.190051813988248,OK,,
underdamped_langevin,6,9606,5,WG_SINDY_FROZEN,B,16,1200,0.01,0.18863569173849892,0.18863569173849892,0.6866515698245252,0.07157558759647391,0.2265068469046245,,0.68655921982201,,,,1.0,0.280905484525155,drift+tensor+psd,7.8947370940004475,OK,,
near_boundary_heston,6,9606,5,WG_SINDY_FROZEN,D,16,1200,0.01,0.34553518911742476,0.34553518911742476,0.21128870811356906,1.0,0.1949420820113827,0.21301264578075496,0.09076995133941726,0.2147688492605832,0.9913997491961872,1.0,1.0,0.44279915175641166,drift+tensor+psd,6.6884166639938485,OK,,
nonpoly_drift,6,9606,5,WG_SINDY_FROZEN,G,16,1200,0.01,0.18933729177227065,0.18933729177227065,0.029596350074956673,0.2338677407302579,0.10981994677742737,0.036860712561224834,0.01982865968737015,,,,1.0,0.176312999402921,drift+tensor+psd,25.721368262020405,OK,,
bad_coverage,6,9606,5,WG_SINDY_FROZEN,A,16,1200,0.01,0.7862031079970399,0.7862031079970399,0.776019464263832,0.7371073434949239,0.8551156076825339,0.787815844503826,0.764040975983208,,,,1.0,0.7813091479648919,drift+tensor+psd,6.078916391998064,OK,,
too_large_dt,6,9606,5,WG_SINDY_FROZEN,A,16,600,0.05,0.09100465333176515,0.09100465333176515,0.13229387003911053,0.08335918827576987,0.09893534111587009,0.09400782376891349,0.1510968034494831,,,,1.0,0.1055960926987836,drift+tensor+psd,6.251095801999327,OK,,
van_der_pol,7-limit-cycle,9606,5,WG_SINDY_FROZEN,B,16,1200,0.01,0.016968809759836678,0.016968809759836678,0.003946104213796195,0.008426051714328309,0.017446925290815922,0.00280653027410522,0.004823573856883613,,,,1.0,0.013383566199193194,drift+tensor+psd,9.643945457006339,OK,,
fitzhugh_nagumo,7-limit-cycle,9606,5,WG_SINDY_FROZEN,B,16,1200,0.01,0.2047876442906594,0.2047876442906594,0.09441330854522131,0.066229327656971,1.6925165076096576,0.010252709814328074,0.030896295816974215,,,,1.0,0.950512261315558,drift+tensor+psd,10.62273415501113,OK,,
stuart_landau,7-limit-cycle,9606,5,WG_SINDY_FROZEN,B,16,1200,0.01,0.13226905507623984,0.13226905507623984,0.016632469068709795,0.11120740960983644,0.1500399937073655,0.009800252941797184,0.02138300953841558,,,,1.0,0.16097780860405736,drift+tensor+psd,10.058215455996105,OK,,
brusselator,7-limit-cycle,9606,5,WG_SINDY_FROZEN,B,16,1200,0.01,0.0120192136126779,0.0120192136126779,0.031024433276522986,0.008678124136366582,0.014092884716579114,0.02740764162247889,0.03426152508211822,,,,1.0,0.012320118527515415,drift+tensor+psd,8.998812613019254,OK,,
