system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec
nondiag_cholesky,4,9105,4,WG_SINDY_FROZEN,C,16,1600,0.01,0.2718683791531579,0.2718683791531579,0.08666369951234998,0.30745347978108944,0.20504987428834906,0.08792040677560432,0.08201174427872293,0.13638707817845178,0.9913051183849556,1.0,1.0,0.30619170049813993,drift+tensor+psd,18.627577002014732
heston_logsv,5,9105,4,WG_SINDY_FROZEN,D,16,2600,0.003968253968253968,0.22501537733893884,0.3969018027874017,0.034575957900341944,1.4048365079803993,0.22501537733893884,0.0258052052708352,0.2450828811406889,0.04346252868312969,0.9994664722882128,1.0,1.0,0.5552846580342639,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,17.80882150999969
indep_ou,1,9106,5,WG_SINDY_FROZEN,A,16,1600,0.01,0.11464057745902466,0.11464057745902466,0.05042252883026797,0.0750265559375413,0.14352697251251895,0.04689352084660252,0.031491695650159655,,,,1.0,0.12214057411152432,drift+tensor+psd,12.896067356981803
correlated_ou,1,9106,5,WG_SINDY_FROZEN,A,16,1600,0.01,0.09553914996814156,0.09553914996814156,0.048483532033057906,0.11392085895811307,0.07239916651856712,0.034170583999059256,0.0007164083926368064,0.08370777995472259,0.9999999999999997,1.0,1.0,0.09919096551422014,drift+tensor+psd,12.653827959991759
rotational_ou,2,9106,5,WG_SINDY_FROZEN,A,16,1600,0.01,0.07387807436412311,0.07387807436412311,0.03816332099385818,0.04755389143098216,0.09088257682283976,0.04368688671373034,0.031691230140564186,,,,1.0,0.07607735584167191,drift+tensor+psd,12.054519678989891
coupled_ou,1,9106,5,WG_SINDY_FROZEN,A,16,1600,0.01,0.19284523840021728,0.19284523840021728,0.02594936296060172,0.14446176163506322,0.23241779587905576,0.006676550227922748,0.0223052769122296,,,,1.0,0.21105030652477597,drift+tensor+psd,13.180875554011436
spiral_sink_corr,2,9106,5,WG_SINDY_FROZEN,A,16,1600,0.01,0.12470114824490221,0.12470114824490221,0.04240020832617713,0.17123383031479886,0.06163304131461347,0.02791247973814193,0.010012164826311145,0.08458113729004846,1.0000000000000002,1.0,1.0,0.1359118200892001,drift+tensor+psd,12.158499614015454
cir_pair,5,9105,4,WG_SINDY_FROZEN,F,16,2600,0.003968253968253968,0.6828537149390274,0.6828537149390274,0.0717120373299054,0.32703649529702933,0.9568296073952356,0.033105234743647245,0.1017590613181547,0.06647238266648513,1.0,1.0,1.0,0.6945432406306454,tensor+leverage+CIR_pair_drift,23.039492885000072
double_well_transverse,3,9106,5,WG_SINDY_FROZEN,B,16,1600,0.01,0.2412199948048599,0.2412199948048599,0.037923777027265924,0.12994928556061727,0.29269030673995655,0.013804896026887644,0.014623717615849864,,,,1.0,0.2504883597167102,drift+tensor+psd,17.65130508301081
gradient_potential,3,9106,5,WG_SINDY_FROZEN,B,16,1600,0.01,0.253534697330555,0.253534697330555,0.0367567955233615,0.2582994298654314,0.24969968965432726,0.009038891682647618,0.03936829795020042,,,,1.0,0.27696149636250866,drift+tensor+psd,18.481509495992213
diag_multiplicative,4,9106,5,WG_SINDY_FROZEN,A,16,1600,0.01,0.13932693780893782,0.13932693780893782,0.1035675132450052,0.0680173347089089,0.19779509466869197,0.11798543863995938,0.07809582779116804,,,,1.0,0.15026168951175273,drift+tensor+psd,16.873999482981162
