system,seed,stat,true_value,recovered_value,abs_error
coupled_ou,9103,var_y,0.5873840050605282,0.28794400344858345,0.2994400016119448
coupled_ou,9103,cov_xy,0.2836425417819953,0.04227875838969701,0.2413637833922983
coupled_ou,9103,acf_y_lag1,0.9908874049424082,0.98279399195736,0.008093412985048287
coupled_ou,9103,crosscorr_lag1,0.4640033646404461,0.18978965454633612,0.27421371009411
spiral_sink_corr,9103,mean_x,0.036191898713055747,0.4419960990762178,0.40580420036316206
spiral_sink_corr,9103,var_x,0.49815693148587614,0.4508622771094456,0.047294654376430545
spiral_sink_corr,9103,acf_x_lag1,0.9893119407037764,0.9889686546725152,0.00034328603126121404
spiral_sink_corr,9103,mean_y,0.030225407545627022,0.05216397666754393,0.02193856912191691
spiral_sink_corr,9103,var_y,0.26044553310466834,0.18691478631896663,0.0735307467857017
spiral_sink_corr,9103,cov_xy,-0.025734334343023864,-0.03784128085466547,0.012106946511641604
spiral_sink_corr,9103,acf_y_lag1,0.9871771494736777,0.9836353979324475,0.0035417515412302647
spiral_sink_corr,9103,crosscorr_lag1,-0.050461555795710676,-0.0985093885524187,0.04804783275670802
cir_pair,9102,mean_x,0.03968588478751743,0.10151743692121261,0.06183155213369518
cir_pair,9102,var_x,0.0008351645453419026,0.0037576084651225624,0.00292244391978066
cir_pair,9102,acf_x_lag1,0.9914293238048166,0.9953656797442744,0.003936355939457736
cir_pair,9102,mean_y,0.039011401016871936,0.05549599845383267,0.016484597436960735
cir_pair,9102,var_y,0.0008184842682201774,0.00047905940387990076,0.0003394248643402766
cir_pair,9102,cov_xy,-0.0004002315931561734,-0.0007977300636851566,0.0003974984705289832
cir_pair,9102,acf_y_lag1,0.9913521200158415,0.9799351089447432,0.01141701107109827
cir_pair,9102,crosscorr_lag1,-0.47985064364245894,-0.5867673986499353,0.10691675500747638
double_well_transverse,9103,mean_x,-0.0821852656871985,-0.691220876398489,0.6090356107112904
double_well_transverse,9103,var_x,0.7383333417642565,0.09544934217803112,0.6428839995862253
double_well_transverse,9103,acf_x_lag1,0.9960205548059657,0.9745977405390196,0.021422814266946144
double_well_transverse,9103,mean_y,-0.09195510495267505,-0.5993776576711223,0.5074225527184473
double_well_transverse,9103,var_y,0.2899591153697065,0.1142420422557772,0.17571707311392928
double_well_transverse,9103,cov_xy,0.1569552010540968,-0.029021863931094696,0.1859770649851915
double_well_transverse,9103,acf_y_lag1,0.9911906336899321,0.9780003551881716,0.013190278501760466
double_well_transverse,9103,crosscorr_lag1,0.3427911440838628,-0.25866854674081075,0.6014596908246735
heston_sv,9102,mean_x,131.08490971311005,107.89205301253727,23.192856700572776
heston_sv,9102,var_x,2790.465520882249,41.94407491347493,2748.521445968774
heston_sv,9102,acf_x_lag1,0.9988166670167137,0.998001055538961,0.0008156114777526646
heston_sv,9102,mean_y,0.039011401016871936,-0.06258453562867117,0.1015959366455431
heston_sv,9102,var_y,0.0008184842682201774,0.0037907145970493914,0.002972230328829214
heston_sv,9102,cov_xy,-0.32659913567468746,-0.044899812077062035,0.2816993235976254
heston_sv,9102,acf_y_lag1,0.9913521200158415,0.8847111930145757,0.10664092700126582
heston_sv,9102,crosscorr_lag1,-0.21386834710409225,-0.10830336955512485,0.1055649775489674
gradient_potential,9103,mean_x,-0.2064942930033108,-0.7656991469090859,0.5592048539057751
gradient_potential,9103,var_x,0.7613810601800385,0.1608701214002904,0.600510938779748
gradient_potential,9103,acf_x_lag1,0.9959337820707995,0.9841694128004607,0.01176436927033886
gradient_potential,9103,mean_y,-0.0374316575844895,-0.31088238262243256,0.27345072503794304
gradient_potential,9103,var_y,0.1756585125321981,0.11181134807828759,0.06384716445391052
gradient_potential,9103,cov_xy,-0.014665921181224966,-0.05576696004113882,0.041101038859913855
gradient_potential,9103,acf_y_lag1,0.9854781966013905,0.9786056942830008,0.0068725023183896505
gradient_potential,9103,crosscorr_lag1,-0.03999211226035531,-0.4059073301134781,0.3659152178531228
nongradient_circulation,9103,mean_x,-0.046812078724150524,0.47445099791824996,0.5212630766424005
